Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
11/02/2015 19:56	20.936	23.641	23.857	22.034	20.960	21.533	21.318	24.315	20.579	23.833	21.533	22.298
11/02/2015 20:01	20.913	23.641	23.857	22.034	20.960	21.533	21.318	24.291	20.579	23.833	21.533	22.274
11/02/2015 20:06	20.889	23.617	23.833	22.034	20.984	21.509	21.294	24.291	20.555	23.809	21.533	22.274
11/02/2015 20:11	20.889	23.617	23.833	22.034	20.984	21.485	21.270	24.291	20.555	23.809	21.509	22.250
11/02/2015 20:16	20.865	23.617	23.833	22.034	20.984	21.461	21.246	24.291	20.555	23.785	21.485	22.250
11/02/2015 20:21	20.841	23.593	23.833	22.058	21.008	21.461	21.223	24.291	20.555	23.785	21.461	22.250
11/02/2015 20:26	20.841	23.593	23.833	22.034	20.984	21.437	21.199	24.291	20.555	23.785	21.437	22.226
11/02/2015 20:31	20.817	23.593	23.857	22.058	21.008	21.437	21.175	24.291	20.555	23.761	21.437	22.202
11/02/2015 20:36	20.793	23.593	23.857	22.058	21.008	21.413	21.127	24.291	20.555	23.761	21.437	22.202
11/02/2015 20:41	20.793	23.593	23.857	22.058	21.008	21.413	21.127	24.291	20.555	23.761	21.413	22.178
11/02/2015 20:46	20.770	23.569	23.857	22.058	20.984	21.413	21.127	24.291	20.555	23.761	21.413	22.154
11/02/2015 20:51	20.746	23.569	23.833	22.058	20.984	21.413	21.103	24.291	20.555	23.737	21.413	22.154
11/02/2015 20:56	20.746	23.569	23.833	22.058	20.984	21.390	21.079	24.291	20.579	23.737	21.413	22.130
11/02/2015 21:01	20.722	23.545	23.857	22.058	20.984	21.390	21.079	24.291	20.627	23.737	21.413	22.130
11/02/2015 21:06	20.722	23.545	23.857	22.058	20.984	21.390	21.056	24.291	20.698	23.737	21.437	22.106
11/02/2015 21:11	20.698	23.545	23.857	22.058	20.960	21.390	21.032	24.291	20.722	23.713	21.437	22.106
11/02/2015 21:16	20.674	23.545	23.857	22.082	20.960	21.366	21.032	24.291	20.770	23.713	21.437	22.106
11/02/2015 21:21	20.674	23.521	23.857	22.058	20.960	21.366	21.008	24.291	20.793	23.713	21.437	22.082
11/02/2015 21:26	20.650	23.521	23.833	22.082	20.936	21.366	20.984	24.291	20.793	23.713	21.437	22.082
11/02/2015 21:31	20.650	23.521	23.833	22.082	20.936	21.366	20.960	24.291	20.817	23.689	21.437	22.058
