	MatD230	EM160b	MG230	MatD160	FD90	MatG230	FD160	MatG160	EG160b	MatG90	MatG20	FD20	ED160b	ME160	FD230	MatD90	EG230	EG160	EG90	EG20	EM230	EM160	EM90	EM20	ED230	ED160	ED90	ED20
16/12/2014 17:05	21.819	21.795	22.896	21.628	20.531	22.130	21.318	21.628	21.772	21.581	20.722	19.032		21.270	21.175		22.441	23.184	21.270	20.865	21.867	21.676	22.345	20.150	22.824	21.318	21.008	19.246
16/12/2014 17:10	21.772	21.748	22.848	21.557	20.507	22.082	21.294	21.581	21.724	21.509	20.698	19.008		21.246	21.151		22.393	23.160	21.270	20.865	21.843	21.652	22.345	20.150	22.776	21.294	21.008	19.222
16/12/2014 17:15	21.700	21.700	22.824	21.509	20.484	22.034	21.270	21.509	21.700	21.461	20.674	18.985		21.223	21.103		22.393	23.136	21.246	20.841	21.819	21.628	22.321	20.126	22.753	21.246	21.008	19.222
16/12/2014 17:20	21.652	21.700	22.800	21.461	20.460	21.963	21.246	21.485	21.700	21.413	20.650	18.961		21.199	21.103		22.345	23.112	21.246	20.841	21.795	21.604	22.321	20.150	22.705	21.223	20.984	19.222
16/12/2014 17:25	21.628	21.676	22.753	21.413	20.412	21.891	21.199	21.437	21.676	21.390	20.650	18.961		21.175	21.056		22.321	23.112	21.199	20.817	21.748	21.557	22.274	20.150	22.681	21.199	20.936	19.199
16/12/2014 17:30	21.581	21.652	22.729	21.366	20.365	21.891	21.175	21.390	21.652	21.318	20.603	18.866		21.127	21.032		22.298	23.088	21.151	20.770	21.724	21.533	22.250	20.103	22.657	21.175	20.889	19.175
16/12/2014 17:35	21.533	21.628	22.681	21.318	20.365	21.843	21.127	21.366	21.628	21.270	20.555	18.818		21.103	21.008		22.274	23.064	21.127	20.770	21.724	21.509	22.250	20.103	22.633	21.151	20.889	19.175
16/12/2014 17:40	21.509	21.604	22.657	21.294	20.341	21.819	21.127	21.318	21.604	21.246	20.555	18.794		21.079	20.960		22.274	23.040	21.151	20.770	21.724	21.485	22.226	20.103	22.609	21.127	20.913	19.175
16/12/2014 17:45	21.485	21.604	22.657	21.294	20.341	21.795	21.127	21.318	21.581	21.223	20.555	18.818		21.056	20.936		22.250	23.016	21.127	20.746	21.700	21.461	22.226	20.103	22.609	21.103	20.889	19.175
16/12/2014 17:50	21.461	21.581	22.633	21.270	20.317	21.772	21.103	21.318	21.581	21.199	20.531	18.794		21.032	20.936		22.250	23.016	21.127	20.746	21.676	21.461	22.226	20.103	22.585	21.079	20.865	19.151
