"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"1422"	39708	"Jura"	"Commerce"	2013	"Mixte Beton-Bois"	0.2
"1424"	39710	"Doubs"	"Bureaux"	2013	"Beton"	2.38
"1426"	39765	"Rhone"	"Bureaux"	2013	"Beton"	0.94
"1433"	39932	"Non precise"	"Bureaux"	2013	"Beton"	2.872213663
"1434"	39975	"Non precise"	"Bureaux"	2013	"Beton"	2.74
"1438"	40249	"Hautes-Pyrenees"	"Enseignement"	2013	"Beton"	2.95
"1439"	40250	"Hautes-Pyrenees"	"Enseignement"	2013	"Beton"	2.98
"1445"	40549	"Yonne"	"Bureaux"	2013	"Bois"	0.79
"1446"	40560	"Seine-Saint-Denis"	"Salle polyvalente"	2013	"Mixte Beton-Bois"	0.93
"1447"	40562	"Yvelines"	"Salle polyvalente"	2013	"Acier"	2.09
"1448"	40574	"Essonne"	"Bureaux"	2013	"Beton"	0.61
"1449"	40747	"Non precise"	"Bureaux"	2013	"Bois"	0.57
"1450"	40777	"Ille-et-Vilaine"	"Enseignement"	2013	"Bois"	0.7
"1451"	40780	"Ille-et-Vilaine"	"Enseignement"	2013	"Bois"	0.71
"1452"	40785	"Ille-et-Vilaine"	"Enseignement"	2013	"Beton"	0.72
"1453"	40809	"Ille-et-Vilaine"	"Bureaux"	2013	"Brique"	0.33
"1454"	40829	"Manche"	"Bureaux"	2013	"Brique"	0.44
"1455"	40849	"Non precise"	"Bureaux"	2013	"Beton"	0.24
"1456"	40865	"Ille-et-Vilaine"	"Enseignement"	2013	"Bois"	0.22
"1457"	40875	"Mayenne"	"Enseignement"	2013	"Bois"	1.82
"1458"	40879	"Ille-et-Vilaine"	"Enseignement"	2013	"Beton"	0.24
"1459"	40964	"Rhone"	"Etablissement sanitaire"	2013	"Beton"	0.68
"1461"	41072	"Loire-Atlantique"	"Bureaux"	2013	"Bois"	4.08
"1462"	41073	"Loire-Atlantique"	"Bureaux"	2013	"Bois"	0.68
"1464"	41392	"Vendee"	"Enseignement"	2013	"Beton"	0.298222
"1466"	41399	"Isere"	"Bureaux"	2012	"Beton"	0.797751
"1468"	41582	"Non precise"	"Enseignement"	2013	"Bois"	1.636315968
"1469"	41590	"Non precise"	"Enseignement"	2013	"Beton"	0.986692806
"1470"	41592	"Non precise"	"Locaux sportifs"	2013	"Bois"	1.58718055
"1471"	41595	"Non precise"	"Bureaux"	2013	"Acier"	0.720911745
"1473"	41698	"Bouches-du-Rhone"	"Etablissement sanitaire"	2012	"Bois"	1.219905354
"1475"	42177	"Alpes-de-Haute-Provence"	"Etablissement sanitaire"	2012	"Bois"	0.865610078
"1476"	42199	"Bouches-du-Rhone"	"Bureaux"	2013	"Beton"	0.867667594
"1477"	42200	"Bouches-du-Rhone"	"Bureaux"	2013	"Beton"	0.926776477
"1478"	42219	"Non precise"	"Bureaux"	2013	"Beton"	0.647987411
"1479"	42229	"Non precise"	"Bureaux"	2013	"Beton"	0.747096714
"1480"	42263	"Bouches-du-Rhone"	"Bureaux"	2013	"Beton"	0.566269547
"1482"	42379	"Hauts-de-Seine"	"Bureaux"	2013	"Beton"	2.99
"1483"	42383	"Seine-Saint-Denis"	"Enseignement"	2013	"Brique"	1.24
"1485"	42519	"Vendee"	"Bureaux"	2011	"Autre"	2.1
"1487"	42522	"Vendee"	"Enseignement"	2012	"Mixte Beton-Bois"	1.02
"1488"	42528	"Yonne"	"Bureaux"	2012	"Acier"	2.43
"1489"	42542	"Vendee"	"Bureaux"	2013	"Beton"	0.85
"1490"	42543	"Vendee"	"Bureaux"	2013	"Beton"	1.9
"1491"	42544	"Vendee"	"Bureaux"	2013	"Beton"	1.36
"1492"	42582	"Vaucluse"	"Enseignement"	2013	"Bois"	0.358655026
"1493"	42631	"Gard"	"Bureaux"	2013	"Bois"	0.349579439
"1494"	42638	"Gard"	"Bureaux"	2013	"Bois"	0.315498408
"1498"	42690	"Bouches-du-Rhone"	"Etablissement sanitaire"	2013	"Beton"	1.522610405
"1502"	42776	"Corse"	"Etablissement sanitaire"	2012	"Bois"	0.237536
"1503"	42852	"Seine-Maritime"	"Enseignement"	2013	"Bois"	0.39
"1504"	42857	"Maine-et-Loire"	"Bureaux"	2013	"Mixte Acier-Beton"	1.27
"1505"	42859	"Maine-et-Loire"	"Commerce"	2013	"Mixte Acier-Beton"	1.98
"1507"	43050	"Indre-et-Loire"	"Bureaux"	2013	"Beton"	0.64
"1509"	43266	"Finistere"	"Salle polyvalente"	2013	"Beton"	1.62
"1515"	43296	"Finistere"	"Salle polyvalente"	2013	"Beton"	1.013
"1516"	43297	"Finistere"	"Salle polyvalente"	2013	"Beton"	0.759
"1521"	43766	"Herault"	"Enseignement"	2012	"Beton"	0.61
"1529"	43951	"Non precise"	"Enseignement"	2013	"Beton"	0.81
"1534"	44134	"Gard"	"Bureaux"	2013	"Beton"	0.78
"1535"	44540	"Isere"	"Enseignement"	2012	"Mixte Beton-Bois"	1.122771
"1536"	44658	"Isere"	"Enseignement"	2013	"Beton"	0.609969
"1550"	44880	"Hauts-de-Seine"	"Enseignement"	2011	"Beton"	0.94
"1551"	44881	"Hauts-de-Seine"	"Enseignement"	2011	"Beton"	1.33
"1552"	44882	"Hauts-de-Seine"	"Enseignement"	2011	"Beton"	0.63
"1553"	44896	"Seine-Saint-Denis"	"Enseignement"	2012	"Beton"	1.63
"1554"	44898	"Hauts-de-Seine"	"Bureaux"	2012	"Beton"	0.67
"1556"	44982	"Haut-Rhin"	"Enseignement"	2013	"Brique"	0.76
"1560"	45050	"Morbihan"	"Enseignement"	2013	"Beton"	1.2
"1561"	45308	"Vienne"	"Enseignement"	2013	"Bois"	0.78
"1562"	45799	"Rhone"	"Bureaux"	2012	"Bois"	1.16
"1563"	45853	"Rhone"	"Bureaux"	2011	"Acier"	1.28
"1564"	45856	"Rhone"	"Bureaux"	2012	"Beton"	1.79
"1565"	45859	"Rhone"	"Bureaux"	2011	"Beton"	0.93
"1567"	45861	"Rhone"	"Bureaux"	2013	"Beton"	1.48
"1569"	45865	"Rhone"	"Bureaux"	2011	"Beton"	5.69
"1571"	45946	"Oise"	"Salle polyvalente"	2012	"Brique"	0.98
"1572"	45963	"Oise"	"Salle polyvalente"	2012	"Bois"	0.83
"1573"	45964	"Hauts-de-Seine"	"Etablissement sanitaire"	2012	"Beton"	8.23
"1574"	45965	"Hauts-de-Seine"	"Etablissement sanitaire"	2012	"Beton"	8.07
"1575"	45969	"Pas-de-Calais"	"Enseignement"	2013	"Bois"	0.69
"1576"	46003	"Nord"	"Enseignement"	2013	"Beton"	0.71
"1577"	46004	"Nord"	"Enseignement"	2013	"Beton"	1.74
"1578"	46010	"Somme"	"Enseignement"	2013	"Beton"	0.73
"1579"	46020	"Oise"	"Enseignement"	2013	"Beton"	1.11
"1581"	46264	"Haut-Rhin"	"Enseignement"	2013	"Paille"	0.415245
"1583"	46288	"Gironde"	"Bureaux"	2013	"Beton"	1.367478
"1585"	46302	"Finistere"	"Bureaux"	2013	"Beton"	0.305141
"1586"	46306	"Ille-et-Vilaine"	"Restaurant"	2012	"Brique"	0.995986
"1587"	46309	"Cotes-Darmor"	"Bureaux"	2013	"Beton"	0.373132
"1589"	46318	"Ille-et-Vilaine"	"Enseignement"	2013	"Beton"	0.657606
"1590"	46336	"Cotes-Darmor"	"Enseignement"	2013	"Mixte Beton-Bois"	0.42706
"1591"	46337	"Ille-et-Vilaine"	"Etablissement sanitaire"	2013	"Beton"	0.355998
"1595"	46507	"Ille-et-Vilaine"	"Enseignement"	2013	"Beton"	1.227845
"1596"	46527	"Ille-et-Vilaine"	"Enseignement"	2013	"Beton"	0.715466
"1597"	46528	"Ille-et-Vilaine"	"Enseignement"	2013	"Bois"	0.523767
"1598"	46564	"Haute-Marne"	"Bureaux"	2014	"Acier"	0.262609
"1602"	46616	"Hauts-de-Seine"	"Commerce"	2013	"Acier"	0.45431
"1603"	46729	"Isere"	"Enseignement"	2013	"Beton"	2.224908
"1604"	46734	"Ardennes"	"Bureaux"	2012	"Brique"	0.79
"1605"	46736	"Nord"	"Bureaux"	2013	"Acier"	0.3
"1606"	46737	"Pas-de-Calais"	"Salle polyvalente"	2013	"Acier"	0.21
"1608"	46901	"Paris"	"Bureaux"	2013	"Beton"	0.989621897
"1610"	47002	"Hauts-de-Seine"	"Hotel"	2013	"Beton"	0.55927735
"1611"	47161	"Puy-de-Dome"	"Enseignement"	2013	"Beton"	0.828
"1612"	47164	"Puy-de-Dome"	"Bureaux"	2012	"Bois"	0.43
"1624"	47338	"Seine-Saint-Denis"	"Bureaux"	2013	"Mixte Acier-Beton"	1.15
"1628"	47501	"Nord"	"Bureaux"	2013	"Brique"	0.750673325
"1630"	47576	"Nord"	"Bureaux"	2013	"Brique"	2.951968877
"1632"	47650	"Nord"	"Salle polyvalente"	2013	"Brique"	4.038051521
"1634"	47828	"Drome"	"Bureaux"	2013	"Bois"	0.436772
"1635"	47881	"Oise"	"Bureaux"	2013	"Beton"	1.04
"1636"	47941	"Essonne"	"Salle polyvalente"	2013	"Bois"	0.57
"1637"	48270	"Non precise"	"Enseignement"	2013	"Bois"	0.44
"1638"	48286	"Non precise"	"Enseignement"	2013	"Bois"	1.69
"1641"	48312	"Haute-Saone"	"Locaux sportifs"	2012	"Bois"	0.487919463
"1642"	48418	"Haute-Saone"	"Bureaux"	2013	"Beton"	0.30788901
"1643"	48436	"Haut-Rhin"	"Salle polyvalente"	2013	"Beton"	0.344179834
"1644"	48442	"Bas-Rhin"	"Salle polyvalente"	2013	"Bois"	0.637400976
"1645"	48446	"Haut-Rhin"	"Enseignement"	2013	"Beton"	0.263185477
"1646"	48447	"Bas-Rhin"	"Enseignement"	2013	"Bois"	0.202419914
"1647"	48474	"Bas-Rhin"	"Enseignement"	2013	"Bois"	1.330682552
"1648"	48548	"Loire-Atlantique"	"Bureaux"	2013	"Beton cellulaire"	1.297069
"1649"	48551	"Loire-Atlantique"	"Enseignement"	2013	"Bois"	0.655186
"1650"	48596	"Bouches-du-Rhone"	"Bureaux"	2010	"Beton"	2.7
"1651"	48669	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.84
"1652"	48670	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.83
"1653"	48671	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.85
"1654"	48672	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.63
"1655"	48732	"Loiret"	"Etablissement sanitaire"	2013	"Beton"	0.910546
"1656"	48739	"Indre-et-Loire"	"Locaux sportifs"	2013	"Bois"	0.58024
"1657"	48809	"Indre-et-Loire"	"Salle polyvalente"	2013	"Bois"	0.383538
"1658"	49443	"Meurthe-et-Moselle"	"Etablissement sanitaire"	2014	"Autre"	1.41
"1660"	49528	"Maine-et-Loire"	"Enseignement"	2013	"Beton"	1.68
"1662"	49532	"Mayenne"	"Bureaux"	2013	"Pierre"	1.02
"1665"	49535	"Sarthe"	"Bureaux"	2013	"Bois"	1.1
"1666"	49536	"Mayenne"	"Bureaux"	2013	"Beton"	0.2
"1667"	49537	"Mayenne"	"Bureaux"	2013	"Bois"	1.12
"1668"	49538	"Mayenne"	"Bureaux"	2013	"Beton"	0.65
"1670"	49540	"Mayenne"	"Salle polyvalente"	2013	"Acier"	2.67
"1671"	49541	"Mayenne"	"Bureaux"	2013	"Beton"	0.69
"1672"	49636	"Ille-et-Vilaine"	"Bureaux"	2013	"Mixte Acier-Beton"	0.56
"1673"	49637	"Ille-et-Vilaine"	"Bureaux"	2013	"Mixte Acier-Beton"	0.43
"1674"	49650	"Ille-et-Vilaine"	"Bureaux"	2013	"Bois"	0.32
"1675"	49652	"Ille-et-Vilaine"	"Bureaux"	2013	"Bois"	0.48
"1676"	49659	"Ille-et-Vilaine"	"Bureaux"	2013	"Bois"	0.47
"1677"	49660	"Ille-et-Vilaine"	"Bureaux"	2013	"Bois"	0.52
"1678"	49681	"Ille-et-Vilaine"	"Enseignement"	2013	"Bois"	1.32
"1681"	49703	"Bas-Rhin"	"Locaux sportifs"	2012	"Mixte Beton-Bois"	0.99
"1683"	49738	"Bas-Rhin"	"Hotel"	2013	"Beton"	2.06
"1684"	49970	"Isere"	"Bureaux"	2014	"Autre"	2.25033061
"1687"	50222	"Val-Doise"	"Enseignement"	2013	"Beton"	1.38
"1691"	50359	"Hauts-de-Seine"	"Hotel"	2014	"Beton"	0.99
"1692"	50362	"Rhone"	"Bureaux"	2012	"Beton"	1.015
"1693"	50381	"Rhone"	"Bureaux"	2013	"Beton"	1.553
"1694"	50391	"Rhone"	"Bureaux"	2013	"Beton"	1.201
"1700"	50697	"Indre-et-Loire"	"Etablissement sanitaire"	2013	"Bois"	0.42
"1702"	50707	"Indre"	"Bureaux"	2013	"Bois"	2.2
"1703"	50708	"Loiret"	"Enseignement"	2013	"Brique"	0.42
"1704"	50709	"Loir-et-Cher"	"Commerce"	2013	"Brique"	0.34
"1705"	50710	"Cher"	"Bureaux"	2013	"Bois"	1.7
"1706"	50711	"Cher"	"Bureaux"	2013	"Bois"	1.8
"1707"	50712	"Cher"	"Bureaux"	2013	"Bois"	1.2
"1709"	50722	"Indre"	"Restaurant"	2012	"Bois"	2.8
"1711"	50749	"Isere"	"Enseignement"	2013	"Beton"	1.12
"1712"	50750	"Savoie"	"Restaurant"	2013	"Bois"	1.73
"1713"	50751	"Savoie"	"Restaurant"	2013	"Bois"	1.76
"1714"	50758	"Savoie"	"Restaurant"	2013	"Bois"	1.97
"1716"	50784	"Savoie"	"Restaurant"	2013	"Bois"	1.36
"1717"	50785	"Savoie"	"Restaurant"	2013	"Bois"	1.7
"1718"	50786	"Savoie"	"Restaurant"	2013	"Bois"	1.31
"1719"	50787	"Savoie"	"Restaurant"	2013	"Bois"	1.07
"1725"	50890	"Finistere"	"Bureaux"	2013	"Beton"	0.865921
"1726"	50891	"Finistere"	"Bureaux"	2013	"Beton"	1.178299
"1727"	50892	"Finistere"	"Bureaux"	2013	"Beton"	1.016785
"1728"	50910	"Ille-et-Vilaine"	"Salle polyvalente"	2013	"Beton"	0.764078
"1729"	50923	"Ille-et-Vilaine"	"Bureaux"	2013	"Beton"	0.874197
"1730"	50927	"Manche"	"Salle polyvalente"	2013	"Beton"	0.906512
"1731"	50943	"Haute-Garonne"	"Bureaux"	2012	"Terre cuite"	0.466033341
"1732"	50972	"Haute-Garonne"	"Enseignement"	2012	"Terre cuite"	1.343747344
"1738"	51149	"Haut-Rhin"	"Etablissement sanitaire"	2013	"Beton"	1.3347309
"1740"	51189	"Yonne"	"Bureaux"	2013	"Acier"	1.46
"1742"	51214	"Yonne"	"Bureaux"	2013	"Acier"	1.118
"1743"	51216	"Meuse"	"Bureaux"	2013	"Beton"	3.004
"1744"	51227	"Aube"	"Bureaux"	2013	"Beton"	0.395
"1745"	51250	"Meuse"	"Bureaux"	2013	"Beton"	0.88
"1746"	51253	"Aube"	"Etablissement sanitaire"	2013	"Beton"	0.832
"1748"	51666	"Maine-et-Loire"	"Enseignement"	2012	"Terre cuite"	0.46
"1749"	51687	"Loire-Atlantique"	"Bureaux"	2012	"Bois"	0.91
"1752"	51708	"Loire-Atlantique"	"Bureaux"	2012	"Beton"	0.34
"1755"	51712	"Loire-Atlantique"	"Bureaux"	2012	"Bois"	1.34
"1758"	51752	"Maine-et-Loire"	"Salle polyvalente"	2013	"Beton"	3.49
"1759"	51771	"Maine-et-Loire"	"Enseignement"	2013	"Bois"	1.69
"1761"	51825	"Loire-Atlantique"	"Enseignement"	2013	"Bois"	1.19
"1762"	51830	"Loire-Atlantique"	"Etablissement sanitaire"	2013	"Beton"	1.1
"1764"	51846	"Ille-et-Vilaine"	"Locaux sportifs"	2013	"Beton"	0.927217
"1765"	51882	"Doubs"	"Bureaux"	2014	"Bois"	0.89
"1767"	52174	"Dordogne"	"Salle polyvalente"	2011	"Bois"	1.16
"1768"	52200	"Haute-Vienne"	"Bureaux"	2011	"Beton"	1.41
"1769"	52212	"Haute-Vienne"	"Bureaux"	2011	"Beton"	1.15
"1770"	52214	"Cantal"	"Bureaux"	2012	"Brique"	1.28
"1771"	52278	"Dordogne"	"Bureaux"	2012	"Beton"	1.11
"1772"	52301	"Dordogne"	"Enseignement"	2013	"Bois"	0.76
"1777"	52329	"Non precise"	"Enseignement"	2013	"Bois"	1.11
"1778"	52337	"Haute-Vienne"	"Bureaux"	2013	"Brique"	0.36
"1779"	52346	"Dordogne"	"Bureaux"	2013	"Beton"	0.74
"1780"	52440	"Maine-et-Loire"	"Bureaux"	2013	"Mixte Beton-Bois"	0.878075
"1781"	52468	"Maine-et-Loire"	"Enseignement"	2013	"Brique"	0.944336
"1782"	52548	"Non precise"	"Enseignement"	2013	"Beton"	1.5
"1783"	52549	"Non precise"	"Enseignement"	2013	"Beton"	0.73
"1784"	52550	"Loire-Atlantique"	"Enseignement"	2013	"Mixte Acier-Beton"	0.57
"1785"	52554	"Loire-Atlantique"	"Enseignement"	2013	"Beton"	0.89
"1786"	52555	"Loire-Atlantique"	"Enseignement"	2013	"Beton"	0.99
"1787"	52578	"Non precise"	"Salle polyvalente"	2013	"Beton"	0.66
"1788"	52579	"Non precise"	"Salle polyvalente"	2013	"Beton"	0.78
"1789"	52580	"Non precise"	"Locaux sportifs"	2013	"Beton"	1.5
"1790"	52581	"Non precise"	"Commerce"	2013	"Beton"	0.61
"1791"	52597	"Non precise"	"Enseignement"	2013	"Bois"	0.68
"1792"	52598	"Non precise"	"Bureaux"	2013	"Brique"	1.1
"1793"	52599	"Loire-Atlantique"	"Bureaux"	2013	"Beton"	0.51
"1794"	52607	"Non precise"	"Enseignement"	2013	"Beton"	0.38
"1795"	52712	"Pyrenees-Orientales"	"Bureaux"	2013	"Bois"	0.629081213
"1796"	52720	"Isere"	"Salle polyvalente"	2013	"Beton"	0.720457494
"1797"	52877	"Rhone"	"Salle polyvalente"	2013	"Beton"	1.535794047
"1798"	52887	"Gard"	"Restaurant"	2013	"Beton"	0.757080733
"1799"	52905	"Isere"	"Salle polyvalente"	2013	"Beton cellulaire"	0.665281611
"1800"	52906	"Isere"	"Salle polyvalente"	2013	"Beton cellulaire"	0.256207354
"1801"	52907	"Isere"	"Salle polyvalente"	2013	"Beton cellulaire"	0.299869803
"1802"	52913	"Vaucluse"	"Bureaux"	2010	"Mixte Acier-Beton"	1.409683903
"1806"	53046	"Finistere"	"Bureaux"	2013	"Beton"	0.43
"1807"	53053	"Morbihan"	"Bureaux"	2013	"Beton"	0.79
"1809"	53192	"Morbihan"	"Bureaux"	2013	"Beton"	4.23
"1811"	53247	"Doubs"	"Bureaux"	2012	"Bois"	2.37
"1812"	53248	"Doubs"	"Restaurant"	2012	"Bois"	2.62
"1813"	53270	"Doubs"	"Bureaux"	2013	"Beton"	0.67
"1814"	53296	"Doubs"	"Enseignement"	2013	"Beton"	1.79
"1815"	53312	"Haute-Saone"	"Enseignement"	2013	"Beton"	1.17
"1816"	53327	"Doubs"	"Bureaux"	2013	"Mixte Beton-Bois"	0.56
"1817"	53328	"Doubs"	"Bureaux"	2013	"Beton"	0.89
"1818"	53338	"Doubs"	"Enseignement"	2013	"Beton"	1.25
"1819"	53339	"Doubs"	"Bureaux"	2013	"Beton"	0.1
"1820"	53340	"Doubs"	"Etablissement sanitaire"	2013	"Beton"	0.19
"1821"	53891	"Nievre"	"Etablissement sanitaire"	2012	"Beton"	0.138009
"1822"	53940	"Correze"	"Bureaux"	2013	"Acier"	0.763622
"1823"	53958	"Puy-de-Dome"	"Bureaux"	2013	"Bois"	0.515533
"1827"	54115	"Savoie"	"Enseignement"	2012	"Beton"	2.58
"1828"	54116	"Savoie"	"Enseignement"	2012	"Beton"	2.87
"1829"	54117	"Savoie"	"Enseignement"	2012	"Beton"	4.44
"1830"	54118	"Savoie"	"Enseignement"	2012	"Beton"	2.41
"1831"	54119	"Savoie"	"Bureaux"	2013	"Beton"	3.85
"1832"	54120	"Savoie"	"Bureaux"	2013	"Beton"	2.68
"1836"	54233	"Doubs"	"Enseignement"	2013	"Brique"	2.171488
"1837"	54350	"Charente-Maritime"	"Locaux sportifs"	2013	"Beton"	0.973
"1838"	54351	"Charente-Maritime"	"Enseignement"	2013	"Beton"	1.337
"1839"	54357	"Manche"	"Bureaux"	2012	"Acier"	0.169494
"1840"	54360	"Manche"	"Enseignement"	2012	"Beton"	0.689497
"1842"	54476	"Loire"	"Bureaux"	2013	"Bois"	3.8
"1843"	54478	"Loire"	"Bureaux"	2013	"Bois"	3.2
"1844"	54674	"Loire-Atlantique"	"Bureaux"	2013	"Beton"	1.033233
"1848"	54821	"Haute-Savoie"	"Salle polyvalente"	2013	"Beton"	3.880154371
"1849"	54826	"Haute-Savoie"	"Salle polyvalente"	2013	"Beton"	1.310068418
"1852"	54881	"Haute-Savoie"	"Salle polyvalente"	2013	"Beton"	1.602356818
"1853"	54991	"Morbihan"	"Bureaux"	2013	"Autre"	1.08
"1858"	55065	"Loire-Atlantique"	"Salle polyvalente"	2013	"Beton"	1.23
"1863"	55492	"Cotes-Darmor"	"Bureaux"	2013	"Bois"	0.2
"1864"	55523	"Morbihan"	"Bureaux"	2013	"Pierre"	0.82
"1865"	55539	"Non precise"	"Bureaux"	2012	"Bois"	0.16
"1867"	55721	"Bas-Rhin"	"Salle polyvalente"	2013	"Beton"	1.709
"1868"	55747	"Bas-Rhin"	"Enseignement"	2013	"Terre cuite"	1.287
"1869"	55756	"Bas-Rhin"	"Locaux sportifs"	2013	"Mixte Acier-Beton"	1.475
"1871"	55932	"Non precise"	"Enseignement"	2013	"Bois"	0.477
"1872"	55933	"Non precise"	"Enseignement"	2013	"Beton"	0.654
"1873"	55981	"Isere"	"Enseignement"	2013	"Bois"	0.89
"1874"	56028	"Lozere"	"Etablissement sanitaire"	2012	"Bois"	0.9
"1875"	56036	"Lozere"	"Bureaux"	2013	"Mixte Acier-Beton"	0.504
"1888"	56636	"Non precise"	"Enseignement"	2013	"Beton"	0.94
"1889"	56661	"Non precise"	"Enseignement"	2013	"Beton"	0.46
"1890"	56662	"Non precise"	"Bureaux"	2013	"Acier"	1.12
"1892"	56689	"Non precise"	"Enseignement"	2013	"Beton"	1.14
"1894"	57074	"Gard"	"Enseignement"	2013	"Beton"	0.21
"1895"	57075	"Gard"	"Enseignement"	2013	"Beton"	0.46
"1901"	57258	"Herault"	"Enseignement"	2013	"Bois"	0.675104929
"1902"	57268	"Herault"	"Bureaux"	2014	"Mixte Acier-Beton"	1.806954365
"1903"	57270	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.540862265
"1904"	57271	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.590055714
"1905"	57272	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.724221013
"1906"	57273	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.886255424
"1907"	57276	"Herault"	"Bureaux"	2014	"Mixte Acier-Beton"	0.676336241
"1909"	57312	"Bas-Rhin"	"Enseignement"	2013	"Bois"	0.56
"1911"	57649	"Bouches-du-Rhone"	"Bureaux"	2013	"Beton"	1.13
"1912"	57688	"Non precise"	"Enseignement"	2013	"Bois"	0.66
"1913"	57779	"Isere"	"Enseignement"	2013	"Beton"	1.57
"1914"	57780	"Isere"	"Enseignement"	2013	"Beton"	1.71
"1928"	58519	"Non precise"	"Locaux sportifs"	2013	"Beton"	0.751439257
"1930"	58546	"Non precise"	"Bureaux"	2012	"Bois"	0.167972572
"1931"	58547	"Non precise"	"Bureaux"	2012	"Bois"	0.220579708
"1933"	58576	"Non precise"	"Bureaux"	2013	"Bois"	1.619986906
"1934"	58588	"Non precise"	"Bureaux"	2013	"Bois"	0.769255044
"1935"	58623	"Puy-de-Dome"	"Bureaux"	2012	"Bois"	1.48
"1936"	58640	"Indre-et-Loire"	"Bureaux"	2013	"Beton"	0.88
"1937"	58641	"Indre-et-Loire"	"Bureaux"	2013	"Bois"	1.57
"1938"	58764	"Non precise"	"Bureaux"	2011	"Acier"	6.11
"1939"	59440	"Ardeche"	"Enseignement"	2013	"Beton"	0.63
"1944"	59897	"Aveyron"	"Bureaux"	2013	"Bois"	0.528
"1945"	60008	"Seine-et-Marne"	"Enseignement"	2013	"Brique"	0.9
"1947"	60929	"Saone-et-Loire"	"Enseignement"	2013	"Bois"	0.50043
"1950"	60980	"Nord"	"Enseignement"	2012	"Beton"	0.719456
"1951"	60994	"Nord"	"Bureaux"	2013	"Bois"	2.203257
"1952"	61004	"Nord"	"Bureaux"	2012	"Pierre"	1.272489
"1953"	61006	"Nord"	"Enseignement"	2012	"Beton"	1.039672
"1954"	61028	"Haut-Rhin"	"Enseignement"	2012	"Beton"	0.5
"1955"	61029	"Moselle"	"Bureaux"	2012	"Beton"	0.27
"1956"	61036	"Moselle"	"Bureaux"	2013	"Bois"	0.52
"1958"	61041	"Moselle"	"Bureaux"	2013	"Beton"	0.36
"1960"	61064	"Bas-Rhin"	"Bureaux"	2013	"Brique"	0.185364991
"1964"	61124	"Deux-Sevres"	"Bureaux"	2012	"Bois"	0.54
"1965"	61447	"Cotes-Darmor"	"Bureaux"	2013	"Bois"	0.41626719
"1966"	61469	"Cote-Dor"	"Enseignement"	2013	"Beton"	1.905116
"1967"	61485	"Cote-Dor"	"Enseignement"	2013	"Beton"	1.413373
"1968"	61555	"Seine-Saint-Denis"	"Enseignement"	2013	"Bois"	0.905679
"1969"	61556	"Seine-Saint-Denis"	"Enseignement"	2013	"Bois"	1.438246
"1970"	61563	"Seine-Saint-Denis"	"Enseignement"	2013	"Mixte Acier-Beton"	1.856246
"1971"	61564	"Seine-Saint-Denis"	"Enseignement"	2013	"Mixte Acier-Beton"	1.016991
"1973"	61600	"Isere"	"Etablissement sanitaire"	2012	"Mixte Beton-Bois"	0.8
"1978"	61628	"Isere"	"Etablissement sanitaire"	2013	"Beton"	0.86
"1982"	61660	"Isere"	"Etablissement sanitaire"	2013	"Mixte Beton-Bois"	1.6
"1983"	61661	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	1.26
"1984"	61662	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	3.05
"1985"	61663	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	1.47
"1986"	61664	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	1.05
"1987"	61678	"Isere"	"Bureaux"	2013	"Mixte Beton-Bois"	0.39
"1988"	61682	"Isere"	"Enseignement"	2013	"Bois"	0.56
"1989"	61684	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	1.21
"1990"	61685	"Isere"	"Etablissement sanitaire"	2013	"Beton"	1.801
"1991"	61686	"Isere"	"Etablissement sanitaire"	2013	"Beton"	0.5
"1992"	61694	"Savoie"	"Enseignement"	2013	"Bois"	0.88
"1993"	61695	"Isere"	"Etablissement sanitaire"	2013	"Beton"	1.13
"1995"	61700	"Isere"	"Bureaux"	2013	"Beton"	0.25
"1996"	61861	"Drome"	"Bureaux"	2013	"Brique"	1.55
"1997"	61862	"Non precise"	"Locaux sportifs"	2013	"Bois"	1.53
"1999"	61903	"Pas-de-Calais"	"Bureaux"	2013	"Acier"	1.06
"2000"	61904	"Pas-de-Calais"	"Bureaux"	2013	"Acier"	0.84
"2001"	61906	"Non precise"	"Enseignement"	2013	"Beton"	1.11
"2002"	61933	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.86
"2003"	61934	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.86
"2004"	61935	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	1.29
"2005"	61936	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	1.29
