"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"338"	8632	"Pyrenees-Atlantiques"	"Bureaux"	2010	"Beton"	0.74
"342"	8673	"Saone-et-Loire"	"Bureaux"	2010	"Bois"	0.98
"345"	8718	"Morbihan"	"Etablissement sanitaire"	2010	"Terre cuite"	0.51
"349"	8866	"Eure-et-Loir"	"Bureaux"	2010	"Paille"	0.797799307
"354"	8886	"Gironde"	"Enseignement"	2010	"Beton"	6.72
"355"	8887	"Gironde"	"Enseignement"	2010	"Beton"	0.98
"356"	8888	"Gironde"	"Enseignement"	2010	"Beton"	2.72
"366"	8952	"Sarthe"	"Enseignement"	2010	"Bois"	1.75
"367"	8953	"Sarthe"	"Enseignement"	2010	"Bois"	1.475
"368"	8954	"Sarthe"	"Enseignement"	2010	"Bois"	1.165
"369"	8955	"Sarthe"	"Enseignement"	2010	"Bois"	1.895
"370"	8956	"Sarthe"	"Enseignement"	2010	"Bois"	1.21
"372"	8993	"Creuse"	"Bureaux"	2010	"Bois"	0.74
"374"	8997	"Non precise"	"Commerce"	2010	"Mixte Acier-Beton"	0.91
"376"	9289	"Non precise"	"Bureaux"	2010	"Bois"	3.742
"378"	9297	"Non precise"	"Industrie"	2010	"Bois"	0.272
"379"	9299	"Non precise"	"Restaurant"	2010	"Bois"	0.426
"382"	9304	"Non precise"	"Bureaux"	2010	"Beton"	0.631
"383"	9314	"Non precise"	"Locaux sportifs"	2010	"Bois"	0.483
"384"	9318	"Non precise"	"Bureaux"	2010	"Bois"	0.438
"385"	9325	"Non precise"	"Etablissement sanitaire"	2010	"Bois"	0.364
"386"	9341	"Non precise"	"Bureaux"	2010	"Bois"	0.605
"387"	9351	"Non precise"	"Bureaux"	2010	"Beton"	0.361
"388"	9590	"Vendee"	"Bureaux"	2010	"Beton"	0.58
"392"	10172	"Cotes-Darmor"	"Bureaux"	2010	"Mixte Beton-Bois"	0.84
"393"	10178	"Cotes-Darmor"	"Bureaux"	2010	"Bois"	0.71
"396"	10213	"Seine-Maritime"	"Etablissement sanitaire"	2010	"Beton"	1.88
"397"	10214	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	8.19
"398"	10215	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	0.82
"399"	10216	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	2.08
"400"	10217	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	7.62
"401"	10218	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	1.08
"402"	10219	"Pas-de-Calais"	"Enseignement"	2010	"Beton"	2.66
"404"	10221	"Somme"	"Bureaux"	2010	"Autre"	0.355305118
"405"	10465	"Ille-et-Vilaine"	"Bureaux"	2012	"Mixte Beton-Bois"	0.5
"406"	10527	"Manche"	"Locaux sportifs"	2012	"Brique"	0.65
"407"	10562	"Calvados"	"Enseignement"	2012	"Beton"	0.63
"411"	10635	"Gard"	"Enseignement"	2011	"Bois"	1.144192738
"413"	10643	"Non precise"	"Enseignement"	2012	"Beton"	4.851101511
"414"	10647	"Loire"	"Enseignement"	2012	"Bois"	1.074267968
"415"	10648	"Bouches-du-Rhone"	"Bureaux"	2012	"Pierre"	4.053325794
"417"	10651	"Bouches-du-Rhone"	"Bureaux"	2012	"Beton"	0.954028931
"418"	10695	"Herault"	"Etablissement sanitaire"	2012	"Bois"	0.122157367
"421"	10773	"Herault"	"Bureaux"	2012	"Beton"	1.213867314
"422"	11075	"Bas-Rhin"	"Enseignement"	2012	"Mixte Beton-Bois"	0.358842246
"423"	11105	"Moselle"	"Bureaux"	2012	"Bois"	1.329457814
"424"	11116	"Haut-Rhin"	"Enseignement"	2010	"Brique"	0.700248089
"425"	11201	"Bas-Rhin"	"Enseignement"	2012	"Brique"	0.836849622
"426"	11202	"Bas-Rhin"	"Enseignement"	2012	"Bois"	0.461408018
"431"	11375	"Haute-Savoie"	"Bureaux"	2013	"Bois"	0.873836
"432"	11377	"Haute-Savoie"	"Etablissement sanitaire"	2013	"Bois"	0.577868
"434"	11397	"Herault"	"Bureaux"	2012	"Bois"	1.53
"435"	11417	"Non precise"	"Industrie"	2012	"Beton"	0.09
"443"	11465	"Bas-Rhin"	"Commerce"	2012	"Beton"	1.05
"456"	11568	"Yonne"	"Bureaux"	2012	"Beton"	0.74
"457"	11578	"Saone-et-Loire"	"Bureaux"	2012	"Mixte Beton-Bois"	0.67
"458"	11587	"Non precise"	"Bureaux"	2012	"Bois"	1.02
"459"	11603	"Non precise"	"Enseignement"	2012	"Bois"	0.29
"460"	11609	"Jura"	"Salle polyvalente"	2012	"Bois"	0.45
"463"	11678	"Savoie"	"Bureaux"	2012	"Beton"	0.46
"465"	11691	"Territoire-de-Belfort"	"Salle polyvalente"	2012	"Mixte Beton-Bois"	1.634280027
"466"	11693	"Ain"	"Bureaux"	2011	"Brique"	0.14
"467"	11695	"Doubs"	"Bureaux"	2012	"Autre"	1.8
"470"	11714	"Jura"	"Locaux sportifs"	2012	"Bois"	0.64
"472"	11721	"Saone-et-Loire"	"Locaux sportifs"	2012	"Bois"	0.6
"473"	11722	"Doubs"	"Bureaux"	2011	"Acier"	1.8
"474"	11724	"Isere"	"Enseignement"	2012	"Mixte Beton-Bois"	0.56092226
"475"	11727	"Non precise"	"Bureaux"	2012	"Mixte Acier-Beton"	1.2
"479"	11732	"Ain"	"Etablissement sanitaire"	2012	"Brique"	0.55
"480"	11733	"Savoie"	"Etablissement sanitaire"	2012	"Beton"	0.7
"481"	11734	"Doubs"	"Bureaux"	2012	"Autre"	2
"482"	11736	"Haute-Marne"	"Enseignement"	2012	"Bois"	1
"483"	11737	"Jura"	"Bureaux"	2012	"Mixte Beton-Bois"	0.46
"484"	11739	"Drome"	"Etablissement sanitaire"	2012	"Brique"	0.31
"485"	11776	"Savoie"	"Bureaux"	2012	"Beton"	0.61
"486"	12253	"Vienne"	"Industrie"	2012	"Beton"	0.1
"487"	12254	"Indre-et-Loire"	"Restaurant"	2012	"Bois"	0.91
"491"	12260	"Non precise"	"Salle polyvalente"	2012	"Bois"	0.65
"492"	12261	"Vosges"	"Etablissement sanitaire"	2012	"Beton"	0.22
"494"	12305	"Haute-Saone"	"Enseignement"	2012	"Terre cuite"	1.454894
"495"	12351	"Vaucluse"	"Enseignement"	2012	"Mixte Beton-Bois"	0.654493
"496"	12385	"Non precise"	"Enseignement"	2012	"Bois"	1.11
"497"	12408	"Non precise"	"Bureaux"	2012	"Bois"	0.41
"498"	12441	"Nord"	"Bureaux"	2011	"Beton"	0.332090921
"499"	12442	"Nord"	"Bureaux"	2011	"Beton"	0.344412661
"500"	12478	"Non precise"	"Enseignement"	2010	"Beton"	0.43
